job_id,title,role_category,company_name,company_url,employment_type,workplace_type,meta,country,city,is_public_sector,language_requirement,citizenship_requirement,education_requirement,experience_requirement,hard_skills,soft_skills,tech_stack,description_raw,source_file,crawl_date
4353480553,Data Engineer,data engineer,Deerdata,https://www.linkedin.com/company/deerdata/life,"全职
符合您的职位偏好，职位类型为全职。","混合办公
符合您的职位偏好，工作场所类型为混合办公。",,sweden,Stockholm,False,[],False,False,False,"ai, airflow, aws, azure, bi, gcp, python, r, scala, sql","communication, flexible","ai, airflow, aws, azure, bi, gcp, python, r, scala, sql","职位简介

Data Engineer – Deerdata

 

Deerdata is a fast-growing analytics and AI consultancy focused on building modern data platforms and analytics solutions that create real business value. We work close to the business and help our customers turn data into decision support, insights, and scalable AI-ready foundations.

We are now looking for a Data Engineer to strengthen our data platform capability and support our growing portfolio of analytics and AI projects.

 

Role and responsibilities

As a Data Engineer at Deerdata, you will:

Design, build, and maintain modern data platforms and pipelines
Develop integrations with diverse source systems
Work with cloud-based data warehouses and lakehouse architectures
Collaborate closely with analytics consultants, architects, and business stakeholders
Ensure data quality, performance, and reliability across data products
Contribute to best practices for data engineering and platform design




Required experience and skills

We expect you to have:

3+ years of experience in data engineering or software engineering
Strong skills in SQL and Python
Experience building data pipelines and data models for analytics
Experience with cloud platforms such as Azure, AWS, or GCP
Familiarity with modern data stacks (data warehouses, lakehouses, orchestration tools)
Understanding of data quality, testing, and monitoring
Ability to work independently and translate business needs into technical solutions
Good communication skills and a structured way of working




Meriting experience

It is considered a strong advantage if you have experience with:

Azure Synapse, Fabric, Databricks, BigQuery, or Snowflake
Data orchestration tools (e.g. Airflow, Azure Data Factory, dbt)
CI/CD for data pipelines
Infrastructure as code (e.g. terraform)
Supporting analytics, BI, or AI use cases with well-structured data
Consulting or customer-facing roles




What we offer

The opportunity to build modern, production-grade data platforms
High influence on technical solutions and architecture
A fast-growing company with short decision paths
Flexible working conditions and a high level of trust
Strong focus on learning and professional development

 

Location: Stockholm

Start date: By agreement

For questions or applications, please contact us or apply directly via LinkedIn.",linkedin_jobs_sweden_data engineer_2026-01-17.json,2026-01-17
4363895464,Data Engineer,data engineer,Playground Data,https://www.linkedin.com/company/playgrounddata/life,"全职
符合您的职位偏好，职位类型为全职。","现场办公
符合您的职位偏好，工作场所类型为现场办公。",,sweden,Stockholm,False,[],False,False,False,"aws, azure, bi, gcp, machine learning, python, r, sql",team,"aws, azure, bi, gcp, machine learning, python, r, sql","职位简介

About us

We are a Stockholm-based consulting and managed services company, specialized in Data and Machine Learning Engineering.

We help clients design, build, and operate modern data platforms in the cloud. Our work spans from delivering high-quality data and governance to running machine learning systems in production.




About the role

We are looking for experienced Data Engineers who love solving problems with data. You will work closely with our clients to understand their needs, design and implement solutions, and help them use data to make better decisions.




You will also have the chance to contribute to internal development, improving how we work, shaping our data engineering frameworks, and helping Playground grow.




What you get:

You will join a high-performing, curious, and collaborative team where everyone’s opinion matters. We enjoy sharing knowledge and building great things together.




We offer:

Challenging projects with great clients
A strong culture of learning and autonomy
Competitive compensation




Requirements: 

At least 3 years of experience in Data Engineering
Strong skills in Python and SQL
Experience with modern data stack tools (e.g. Snowflake, dbt)
You must be based in the Stockholm area
Valid work permit for Sweden (no visa sponsorship or relocation).




Buzzword bingo:

AWS | Azure | GCP | Databricks | Snowflake | DBT | Python | SQL | Terraform",linkedin_jobs_sweden_data engineer_2026-01-17.json,2026-01-17
4352618190,Data Engineer,data engineer,Ubique Systems,https://www.linkedin.com/company/ubique-systems/life,,"现场办公
符合您的职位偏好，工作场所类型为现场办公。",,sweden,Stockholm,False,['english'],False,False,False,"ai, azure, bi, python, r, scala, spark, sql",team,"ai, azure, bi, python, r, scala, spark, sql","职位简介

Hello,




I hope you are doing good.




Position – Data Engineer

Location – Stockholm & Malmo, Sweden (Onsite)

Experience - 6+ Years

Language - English

Duration - 6 months B2B Contract, It's extendable.




Job Description

Key responsibilitiesDesign and build data solutions Create and maintain scalable data pipelines and architectures using Azure services.Develop ELT processes Build, manage, and optimize extract, transform, and load (ETL) or extract, load, and transform (ELT) processes using tools like Azure Data Factory.Manage data storage Implement and manage data storage solutions such as Azure SQL Database, Azure Data Lake Storage (ADLS), and Azure Cosmos DB.Ensure data quality Implement data validation, cleansing, and quality assurance methodologies to maintain data integrity.Optimize performance Monitor and troubleshoot data pipelines and databases to resolve performance issues.Collaborate with stakeholders Work with data scientists, analysts, and other teams to understand data requirements and deliver solutions.Ensure security Implement data security and access controls within the Azure environment, often using tools like Azure Key Vault. Required skillsAzure services Proficiency in Azure services like Azure Data Factory, Azure Databricks, Azure SQL Database, Azure Data Lake Storage, and Azure Key Vault.Programming and scripting Strong skills in languages like Python, SQL, and PySpark.Data modeling Experience in designing and maintaining data models to ensure consistency and integrity.Cloud concepts A strong understanding of data warehousing and cloud-based data architectures.Analytical skills The ability to work with large datasets and perform data analysis.",linkedin_jobs_sweden_data engineer_2026-01-17.json,2026-01-17
4352984892,AWS Data Engineer,data engineer,InterEx Group,https://www.linkedin.com/company/interex-group/life,,"混合办公
符合您的职位偏好，工作场所类型为混合办公。",,sweden,,False,[],False,False,False,"ai, aws, bi, python, r, scala, sql","agile, team","ai, aws, bi, python, r, scala, sql","职位简介

Job Description:




For this client, we are growing our Data & Analytics footprint. As our new Senior Data Engineer, you will collaborate with product owners, architects and other key profiles across the global organisation helping business verticals and clusters maximising the value of our data and drive business change as an impact of this.




You will be responsible for delivering value-add products, ensuring high success rates as well as being an ambassador that data quality is always a priority. Your primary focus will be designing, building and implementing scalable data products on our global data platform and securing ownership and stability of the products.




Qualifications and Skills:




The tech stack needed is:

Data Engineering
Experience using an IDE for ETL
Python
SQL
Cloud (AWS)
Big Data Tech
Data Modelling & Data Warehouse experience
Experience working within scrum and in an agile team




Preferably you would be someone with strong experience in ETL processes and data pipelines.




If you are interested in learning more please apply today!!




To find out all other details, please apply below! We look forward to receiving your application.",linkedin_jobs_sweden_data engineer_2026-01-17.json,2026-01-17
4359170397,Cloud Engineer till Adlibris,data engineer,Adlibris,https://www.linkedin.com/company/adlibris/life,"全职
符合您的职位偏好，职位类型为全职。","混合办公
符合您的职位偏好，工作场所类型为混合办公。",,sweden,Stockholm,False,['svenska'],False,False,True,"ai, aws, azure, bi, gcp, kubernetes, r",team,"ai, aws, azure, bi, gcp, kubernetes, r","职位简介

Vill du vara med och bygga framtidens molninfrastruktur för Nordens största bokhandel? Vi söker nu en Cloud Engineer som vill ta nästa steg i karriären och vara med och driva vår tekniska utveckling framåt!





Om rollen




Som Cloud Engineer hos oss kommer du att arbeta aktivt med att utveckla, automatisera och underhålla vår cloud-infrastruktur, där Kubernetes utgör grunden för vår containerhantering och Azure är vår primära molnplattform. Du blir en nyckelperson i teamet och får stort utrymme att bidra med idéer och lösningar för att skapa en robust, skalbar och modern plattform. 





Du kommer att driva och implementera initiativ för att vi ska nå våra tekniska och affärsmässiga mål, och samarbeta tätt med utvecklare, produktägare och andra intressenter för att säkerställa att vår infrastruktur stödjer verksamhetens behov. 





I din vardag kommer du att arbeta med tekniker som Terraform för infrastruktur som kod, Helm för hantering av Kubernetes-applikationer, Istio för service mesh och avancerad trafikstyrning, Argo för GitOps och automatisering av deployment-flöden samt Github Actions för CI/CD och automatisering av arbetsflöden.







Kvalifikationer




Vi söker dig som:



Har erfarenhet av att arbeta hands-on med Kubernetes och cloud-infrastruktur (t.ex. Azure, AWS eller GCP).
Är nyfiken, driven och har en stark vilja att utvecklas och lära dig nytt.
Gillar att ta ansvar och driva projekt från idé till färdig lösning.
Har god förståelse för automatisering, CI/CD och moderna DevOps-principer.
Trivs med att jobba i team och kommunicera med olika delar av organisationen.
Du behöver ha goda kunskaper i svenska för att kunna hantera dokumentation och dialog i det dagliga arbetet.



Vi erbjuder



Möjlighet att påverka och bygga Adlibris framtida molnplattform.
En öppen och inkluderande kultur där nya idéer välkomnas.
Stora möjligheter till kompetensutveckling och att växa i rollen.
Flexibla arbetsformer och bra förmåner.





Anställningsform och startdatum:



Tillsvidareanställning med 6 månaders provanställning.
Startdatum snarast möjligt eller enligt överenskommelse.
Vi tillämpar flexibel arbetsplats där mertiden tillbringas i våra fina kontorslokaler i centrala Stockholm.



Låter detta som nästa steg i din karriär? Vi ser fram emot att höra från dig! Urval sker löpande, så skicka in din ansökan så snart som möjligt.





Adlibris hanterar rekryteringsprocessen internt och ber vänligen att inte bli kontaktade av rekryteringsföretag eller externa rekryterare som erbjuder kandidater.",linkedin_jobs_sweden_data engineer_2026-01-17.json,2026-01-17
4353098278,Data Engineer,data engineer,Solvex Solutions,https://www.linkedin.com/company/solvex-solutions/life,,"混合办公
符合您的职位偏好，工作场所类型为混合办公。",,sweden,,False,[],False,False,False,"ai, aws, bi, r, scala","collaboration, initiative, team","ai, aws, bi, r, scala","职位简介

We are looking for a Senior Data Engineer with strong experience in AWS and dbt to join a team working on large-scale, cloud-based data platforms. This role suits someone who brings stability and deep expertise, while also challenging existing approaches and helping shape future ways of working.




Mode of work - Hybrid (Once per week onsite)

Duration - 12 Months + Extensions




You will play a key role in designing and building scalable data pipelines, improving data models, and contributing to both technical solutions and team practices. The environment includes complex data landscapes where quality, reliability, and collaboration are essential.




Key Responsibilities

Design, build, and maintain scalable data pipelines on a cloud-based analytics platform
Work hands-on with AWS services and dbt for transformations
Develop and maintain robust data models
Troubleshoot and resolve complex data and pipeline issues
Contribute to architectural discussions and long-term data platform strategy
Proactively suggest improvements and share knowledge within the team
Work on large, complex initiatives with multiple stakeholders




Interested? Apply Now",linkedin_jobs_sweden_data engineer_2026-01-17.json,2026-01-17
4354806075,Data Engineer,data engineer,CompuGroup Medical SE & Co. KGaA,https://www.linkedin.com/company/compugroup-medical-ag/life,"全职
符合您的职位偏好，职位类型为全职。","混合办公
符合您的职位偏好，工作场所类型为混合办公。",,sweden,,False,['english'],False,False,False,"ai, airflow, azure, bi, gcp, python, r, spark, sql","agile, team","ai, airflow, azure, bi, gcp, python, r, spark, sql","职位简介

Job Description

MARE is the development of an eHealth tech hub in Venice, dedicated to the research, implementation and promotion of innovative applications and artificial intelligence for the medical sector.

We aim to become a center of cooperative research and investments in software, information systems and artificial intelligence in healthcare.

For this ambicious project, we are looking for outstanding Data Engineers who are driven by our mission: ""Nobody should suffer or die because at some point medical information was missing”.

Is it your passion to digitalize healthcare using the latest tech stacks and tools? Do you enjoy working in an interdisciplinary team with a strong start-up mentality? Then we look forward to receiving your applicati

Your Contribution


As a Data Engineer, you will develop ETL processes in an agile team to cleanse, enrich, and normalize healthcare data in our data lake based on Python and Elasticsearch.
You will design and implement methods such as differential privacy or personally identifiable information substitution to meet our high data protection requirements.
You have a high standard for software quality and maintain it through the design and implementation of automated unit and integration tests, as well as through code reviews.
You will actively contribute to the further development and optimization of our growing global data landscape in the public cloud, bringing a high degree of self-responsibility.


What You Bring


A completed degree in (medical) informatics, mathematics, natural sciences, or a comparable qualification.
An agile mindset and a passion for software development of data processes and data landscapes in the cloud.
Advanced experience with Python-based ETL processes using Spark and Airflow, as well as NoSQL databases like Elasticsearch and alternatives like Parquet.
[Senior Engineer:] At least 4 years of professional experience in data engineering using cloud services from GCP and/or Azure.
Advanced English language skills, both written and spoken (minimum C1).


What You Can Expect From Us


Purpose and Meaning: Become part of an important mission. At the intersection of healthcare and digitalization, we are shaping the future of e-Health.
Attractive Locations with Real Communities: People and cohesion are at the center of our focus. Therefore, we offer you attractive locations.
Security: We provide you with a secure workplace in a stable market environment.
Flat Hierarchies: Best of both worlds – we are a corporation with stable structures and absolute expertise, but at the same time, we offer you an agile environment with flat hierarchies.
Creative Freedom: You can make a significant impact in exciting projects. We offer you diverse development opportunities and long-term perspectives.
Hybrid working model: 2 days per week working from home


We create the future of e-Health.

Become part of a meaningful mission.",linkedin_jobs_sweden_data engineer_2026-01-17.json,2026-01-17
4352600595,AI Software Engineer,data engineer,Visendi,https://www.linkedin.com/company/visendi-ai/life,"全职
符合您的职位偏好，职位类型为全职。","混合办公
符合您的职位偏好，工作场所类型为混合办公。",,sweden,,False,[],False,False,False,"ai, bi, docker, python, r","flexible, team","ai, bi, docker, python, r","职位简介

Visendi builds multi-agent AI software that transforms how hardware gets designed, produced, and distributed. We're an innovative team moving fast to ship products that actually change how physical products get made. We have built and deployed several AI solutions that are live today, supporting production facilities, logistics operations, and hardware design processes at industry-leading companies daily. We're expanding our engineering team and looking for software engineers who want to build the products that bring our AI systems to life and make an impact on the physical world.




The Role

Work across the entire stack: backend, frontend, and everything in between
Build and ship user-facing products powered by our multi-agent AI systems
Make well-reasoned technical decisions, knowing when to prioritize speed and when to invest in foundational work
Own features end-to-end, from concept to production
Collaborate closely with AI engineers to integrate agent systems into real products
Build Visendi's internal AI products, and support custom client AI projects




We Seek a Self-Starter Who Is

More inventor than maintainer - you'd rather build something new than optimize an existing codebase
Comfortable with ambiguity and changing direction when we learn something new
Has strong product sense - you think beyond the code to what users actually need
Excited about impacting physical product development (design, manufacturing, logistics, supply chain)
Ready for a fast, intensive startup environment - not a traditional 9-to-5




This isn't a role for engineers who thrive in large-scale enterprise projects with established processes. We need people who can figure things out as they go.




Your Profile

Comfortable working across the stack—backend and frontend
Familiar with our stack: Python, Golang, TypeScript, React, Node.js, Docker - strong in some, willing to learn the rest
Strong product instincts and ability to make pragmatic technical trade-offs
Can prove your previous work—GitHub, demos, case studies, something tangible
Real-world building experience matters more than degrees or big-name employers




Note: Applications without proof of previous work will not be considered. ""I worked at [Big Tech Company]"" by itself isn't enough - show us what you built.

 

Why Join Visendi?

Competitive salary with paid vacation and health benefits
Flexible environment with a mix of remote and on-site work
Direct impact on products from day one
Work on genuinely hard problems at the frontier of AI
Small team = your contributions actually matter
Help shape how physical products get designed and made worldwide
Enjoy fun afterworks and off-site activities with the team




Interested?

Reach out and show us who you are and what you've been working on: recruitment@visendi.ai. ",linkedin_jobs_sweden_data engineer_2026-01-17.json,2026-01-17
4164114051,Data Engineer,data engineer,B3 Indes,https://www.linkedin.com/company/b3-indes/life,"全职
符合您的职位偏好，职位类型为全职。","现场办公
符合您的职位偏好，工作场所类型为现场办公。",,sweden,Stockholm,False,"['engelska', 'svenska']",False,True,True,"ai, aws, azure, bi, gcp, power bi, r",team,"ai, aws, azure, bi, gcp, power bi, r","职位简介

På B3 Indes förvandlar vi data till värdefulla insikter som driver förändring och innovation. Vi skapar lösningar inom AI, Business Intelligence, Data Science och Automation för att maximera värdet av data och stärka företags konkurrenskraft. Vår styrka ligger i att kombinera passion för AI och data med en stark laganda, där vi stöttar varandra och löser utmaningar tillsammans.

Rollen inom Data Engineering på B3: 

Hos oss får du chansen att jobba med några av Sveriges mest spännande kunder och projekt. Vad innebär det? Jo, att du får:


Gräva i och tillgängliggöra data som inte bara hjälper våra kunder – utan kanske till och med gör världen lite bättre. 
Göra företag mer datadrivna och smartare genom att guida dem i rätt riktning. 
Designar, modellerar och utveckla datalager som bygger på ett eller flera olika källsystem. 
Bygga och implementera avancerade lösningar – och faktiskt se dem göra skillnad! 


Här handlar det inte bara om teknik – det handlar om att modellera, tillgängliggöra och förvalta flöden av data som kan skapa verklig förändring. Vi gillar att tänka stort, experimentera och lösa kluriga problem tillsammans. Och det bästa? Du får ett team av grymma kollegor att bolla idéer med, lära dig av och ha kul ihop med!

Det är din passion för data och analys som gör skillnaden. Utöver det ser vi gärna: 


Har du en relevant universitetsutbildning? Toppen! Har du kanske skaffat motsvarande kunskaper genom arbetslivserfarenhet? Det funkar lika bra! 
Minst 4 års relevant arbetslivserfarenhet – vi letar efter någon som har hunnit samla på sig en del erfarenhet inom området. 
Flytande svenska och engelska – eftersom båda språken används dagligen i arbetet. 
Tidigare konsultroller är ett plus! Har du jobbat som konsult tidigare? Då är det en extra merit, men inget krav. 


Men framför allt...

Har du djup erfarenhet av rollen som Data Engineer? Fantastiskt – det är viktigt! Men vi lägger också stor vikt vid din förmåga att se helheten, skapa användbara lösningar men framför allt att du är nyfiken. Om du dessutom har erfarenhet av flera olika moderna ramverk och utvecklarverktyg för t.ex ETL/ELT-flöden, Databaser, Data Warehouse, DataLake, Datamodellering och DevOps – är det ett stort plus.

Vi ser även gärna att du har:


Erfarenhet av att ha arbetat i en eller flera molnplattformar – Azure, AWS, GCP. 
Kanske har du också lite koll på någon av de andra vanligaste BI-verktygen (ex; Power BI eller Qlik) 
Snowflake, Databricks eller något datalager automationsverktyg (ex: TimeXtender eller Wade) 
Viss erfarenhet av att arbeta med arkitektur 


Varför välja B3 Indes?

💡 Utveckling & karriär – Väx i en entreprenörsdriven miljö där din kompetens får ta plats.

🌿 Balans & välmående – Vi värnar om ditt välbefinnande med stöd för wellness och en flexibel vardag.

🚀 Energi & gemenskap – Här präglas kulturen av öppenhet, nyfikenhet och en passion för att skapa något större – tillsammans.

❤️ Vi bryr oss – på riktigt – Vi engagerar oss i samhällsfrågor och samarbetar med initiativ som Suicide Zero, My Dream Now och Pink Programming för att göra skillnad även utanför arbetslivet.

En arbetsplats som gör skillnad:

Vi är stolta över att ha utsetts till ett av Sveriges fem främsta karriärföretag 2025 – en utmärkelse som speglar vår energi, nyfikenhet och vårt engagemang för att skapa en inkluderande och inspirerande arbetsplats. Här värdesätts olika perspektiv och idéer, och vi tror att det är just det som gör oss starkare.

Hos oss får du friheten att styra över dina uppdrag, din arbetstid och din utveckling. Vi erbjuder konkurrenskraftiga löner, flexibilitet att forma din vardag och en sund balans mellan jobb och fritid. Och vi vet att gemenskap är minst lika viktigt som teknik – därför satsar vi på allt från konferensresor och sommarfester till sköna AW:s där vi kan släppa jobbet för en stund.

Om B3 Consulting Group

B3 Consulting Group är ett expansivt konsultbolag med cirka 1000 medarbetare. Vi brinner för innovation och hjälper Sveriges ledande företag och organisationer att skapa framtidens möjligheter genom digital transformation. B3 finns på tolv orter i Sverige samt i Polen, med huvudkontor i Stockholm. Bolaget grundades 2003, är noterat på Nasdaq Stockholm Small Cap och omsatte 1 141 MSEK 2023.

Vi är stolta över vår prisbelönta företagskultur, där olikheter, erfarenheter och gemensam energi värdesätts. Som ett etiskt och transparent bolag strävar vi efter att ha en positiv påverkan på samhället, människor och miljön. Vi är även engagerade i Women in Tech och initiativ för att stärka AI-utbildning för kvinnor. 2024 utsågs vi till Årets Employer Branding-företag, och vår HR-chef vann titeln Årets HR-chef.

Är du redo att bli en del av ett företag där din passion för AI och data kan göra skillnad? Läs mer om oss och våra möjligheter här!",linkedin_jobs_sweden_data engineer_2026-01-17.json,2026-01-17
4351887768,Data Engineer (GCP),data engineer,AddanEx,https://www.linkedin.com/company/addanex/life,,"混合办公
符合您的职位偏好，工作场所类型为混合办公。",,sweden,Stockholm,False,['english'],False,False,False,"ai, bi, gcp, r, scala, sql",team,"ai, bi, gcp, r, scala, sql","职位简介

AddanEx JOB POSTING:

Title: GCP Data Engineer

Location: Stockholm, Sweden. (Onsite 3 days/week)

Type: Contract

Start Date: ASAP

Duration: Until 30th November + possible extensions 

Utilisation: 40 Hours per week

Fluent Languages: English / Swedish 




Job Summary / Key Skills

Design, model, and transform data to support analytics and reporting needs.
Ensure data quality, reliability, and usability for analysts, decision-makers, and development teams.
Define and promote best practices for data modeling, code structure, and documentation to support long-term, scalable solutions.
Strong proficiency in SQL.
Extensive hands-on experience with Data Vault and dimensional modeling (minimum 5 years).
Experience working with cloud-based data platforms such as Google Cloud Platform (GCP) and BigQuery.
Familiarity with version control tools such as Git or GitHub.




If you are interested please apply with an up to date CV or email tom.carpenter@addanex.com for further information!",linkedin_jobs_sweden_data engineer_2026-01-17.json,2026-01-17
